,Index,Make,Model,Variant,Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,12v_Power_Outlet,Audiosystem,Boot-lid_Opener,Boot_Space,Central_Locking,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Multifunction_Display,Sun_Visor,Ventilation_System,Engine_Immobilizer,ABS_(Anti-lock_Braking_System),Adjustable_Headrests,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Number_of_Airbags,Adjustable_Steering_Column,Type,Child_Safety_Locks
1092,1092,Maruti Suzuki,Ciaz,1.3L Zeta Smart Hybrid,1062689,1248 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43.0,Diesel,1485 mm,4490 mm,1730 mm,Sedan,4.0,28.09,5,Ventilated Disc,Drum,McPherson,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,Analog,2,5.0,Fabric,2650 mm,185/65R15,Yes,CD Player with USB & Aux-in,"With Remote, Internal",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,2.0,"Rake, Reach",4,0
1093,1093,Maruti Suzuki,Ciaz,1.5L Sigma Smart Hybrid,819689,1462 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,43.0,Petrol,1485 mm,4490 mm,1730 mm,Sedan,4.0,21.56,5,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,103Bhp@6000rpm,138Nm@4400rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2650 mm,185/65R15,2,CD Player with USB & Aux-in,"Internal, With Remote",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
1094,1094,Maruti Suzuki,Ciaz,1.5L Delta Smart Hybrid,881689,1462 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,43.0,Petrol,1485 mm,4490 mm,1730 mm,Sedan,4.0,21.56,5,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,103Bhp@6000rpm,138Nm@4400rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2650 mm,185/65R15,2,CD Player with USB & Aux-in,"Internal, With Remote",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
1095,1095,Maruti Suzuki,Ciaz,1.5L Zeta Smart Hybrid,958689,1462 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,43.0,Petrol,1485 mm,4490 mm,1730 mm,Sedan,4.0,21.56,5,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,103Bhp@6000rpm,138Nm@4400rpm,Digital,Analog,Analog,2,5.0,Leather,2650 mm,185/65R15,Yes,CD Player with USB & Aux-in,"With Remote, Internal",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,2.0,"Rake, Reach",4,0
1096,1096,Maruti Suzuki,Ciaz,1.5L Alpha Smart Hybrid,997689,1462 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,43.0,Petrol,1485 mm,4490 mm,1730 mm,Sedan,4.0,21.56,5,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,195/55R16,195/55R16,Electric Power,All Windows,103Bhp@6000rpm,138Nm@4400rpm,Digital,Analog,Analog,2,5.0,Leather,2650 mm,195/55R16,Yes,USB & Aux-in,"Internal, With Remote",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,"With Remote, Internal",Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
1097,1097,Maruti Suzuki,Ciaz,1.5L Delta At Smart Hybrid,980689,1462 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,43.0,Petrol,1485 mm,4490 mm,1730 mm,Sedan,4.0,20.28,4,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,103Bhp@6000rpm,138Nm@4400rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2650 mm,185/65R15,2,CD Player with USB & Aux-in,"With Remote, Internal",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,1,0
1098,1098,Maruti Suzuki,Ciaz,1.5L Zeta At Smart Hybrid,1058688,1462 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,43.0,Petrol,1485 mm,4490 mm,1730 mm,Sedan,4.0,20.28,4,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,103Bhp@6000rpm,138Nm@4400rpm,Digital,Analog,Analog,Yes,5.0,Leather,2650 mm,185/65R15,Yes,CD Player with USB & Aux-in,"With Remote, Internal",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,"Rake, Reach",1,0
1099,1099,Maruti Suzuki,Ciaz,1.5L Alpha At Smart Hybrid,1098689,1462 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,43.0,Petrol,1485 mm,4490 mm,1730 mm,Sedan,4.0,20.28,4,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,195/55R16,195/55R16,Electric Power,All Windows,103Bhp@6000rpm,138Nm@4400rpm,Digital,Analog,Analog,2,5.0,Leather,2650 mm,195/55R16,Yes,USB & Aux-in,"Internal, With Remote",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,"With Remote, Internal",Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,"Rake, Reach",1,0
1100,1100,Maruti Suzuki,Ciaz,1.5L Alpha,1138189,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43.0,Diesel,1485 mm,4490 mm,1730 mm,Sedan,4.0,26.82,6,Ventilated Disc,Drum,McPherson,Torsion Beam,195/55R16,195/55R16,Electric Power,All Windows,94Bhp@4000RPM,225Nm@1500-2250rpm,Digital,Analog,Analog,2,5.0,Leather,2650 mm,195/55R16,Yes,USB & Aux-in,"Internal, With Remote",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,"With Remote, Internal",Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,"Rake, Reach",4,0
1101,1101,Maruti Suzuki,Ciaz,1.5L Delta,997689,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43.0,Diesel,1485 mm,4490 mm,1730 mm,Sedan,4.0,26.32,6,Ventilated Disc,Drum,McPherson,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,94Bhp@4000RPM,225Nm@1500-2250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2650 mm,185/65R15,2,CD Player with USB & Aux-in,"Internal, With Remote",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,"Rake, Reach",4,0
1102,1102,Maruti Suzuki,Ciaz,1.5L Zeta,1109189,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43.0,Diesel,1485 mm,4490 mm,1730 mm,Sedan,4.0,26.32,6,Ventilated Disc,Drum,McPherson,Torsion Beam,185/65R15,185/65R15,Electric Power,All Windows,94Bhp@4000RPM,225Nm@1500-2250rpm,Digital,Analog,Analog,2,5.0,Fabric,2650 mm,185/65R15,Yes,CD Player with USB & Aux-in,"With Remote, Internal",510.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,,2.0,"Rake, Reach",4,0
1103,1103,Skoda,Rapid,1.6 Mpi Ambition,998599,1598 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1466 mm,4413 mm,1699 mm,Sedan,4.0,15.41,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,105PS@5250rpm,153Nm@3750-3800rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2552 mm,185/60R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"Internal, With Remote",460.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",4,0
1104,1104,Skoda,Rapid,1.5 Tdi Cr Active,1006139,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Diesel,1466 mm,4413 mm,1699 mm,Sedan,4.0,21.13,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,110PS@4000rpm,250Nm@1500-2500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2552 mm,185/60R15,Yes,Not on offer,"With Remote, Internal",460.0,Yes,,Front & Rear,,Front & Rear,Yes,,Internal,Digital,Manual,Analog,Yes,,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",4,0
1105,1105,Skoda,Rapid,1.6 Mpi Active,881916,1598 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1466 mm,4413 mm,1699 mm,Sedan,4.0,15.41,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,105PS@5250rpm,153Nm@3750-3800rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2552 mm,185/60R15,Yes,Not on offer,"With Remote, Internal",460.0,Yes,,Front & Rear,,Front,Yes,,Internal,Digital,Manual,Analog,Yes,,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Reach, Rake",4,0
1106,1106,Skoda,Rapid,1.5 Tdi Cr Ambition,1129599,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Diesel,1466 mm,4413 mm,1699 mm,Sedan,4.0,21.13,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,110PS@4000rpm,250Nm@1500-2500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2552 mm,185/60R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",460.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",4,0
1107,1107,Skoda,Rapid,1.5 Tdi Cr Ambition At,1249599,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Diesel,1466 mm,4413 mm,1699 mm,Sedan,4.0,21.72,7,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,110PS@4000rpm,250Nm@1500-2500rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2552 mm,185/60R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",460.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",1,0
1108,1108,Skoda,Rapid,1.6 Mpi Style At,1243599,1598 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1466 mm,4413 mm,1699 mm,Sedan,4.0,14.84,7,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,105PS@5250rpm,153Nm@3750-3800rpm,Digital,Analog,Analog,Yes,5.0,Leather,2552 mm,185/60R15,Yes,Not on offer,"With Remote, Internal",460.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",1,0
1109,1109,Skoda,Rapid,1.5 Tdi Cr Style At,1399599,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Diesel,1466 mm,4413 mm,1699 mm,Sedan,4.0,21.72,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,110PS@4000rpm,250Nm@1500-2500rpm,Digital,Analog,Analog,Yes,5.0,Leather,2552 mm,185/60R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",460.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",1,0
1110,1110,Skoda,Rapid,1.5 Tdi Cr Style,1273599,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Diesel,1466 mm,4413 mm,1699 mm,Sedan,4.0,21.13,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,110PS@4000rpm,250Nm@1500-2500rpm,Digital,Analog,Analog,Yes,5.0,Leather,2552 mm,185/60R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",460.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",4,0
1111,1111,Skoda,Rapid,1.6 Mpi Style,1115599,1598 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1466 mm,4413 mm,1699 mm,Sedan,4.0,15.41,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,105PS@5250rpm,153Nm@3750-3800rpm,Digital,Analog,Analog,Yes,5.0,Leather,2552 mm,185/60R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",460.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",4,0
1112,1112,Skoda,Rapid,1.6 Mpi Ambition At,999599,1598 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1466 mm,4413 mm,1699 mm,Sedan,4.0,14.84,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,105PS@5250rpm,153Nm@3750-3800rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2552 mm,185/60R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"Internal, With Remote",460.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",1,0
1113,1113,Skoda,Rapid,Onyx Mt Petrol,975599,1598 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1466 mm,4413 mm,1699 mm,Sedan,4.0,15.41,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,105PS@5250rpm,153Nm@3750-3800rpm,Digital,Analog,Analog,Yes,5.0,Leather,2552 mm,185/60R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",460.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",4,0
1114,1114,Skoda,Rapid,Onyx At Petrol,1099599,1598 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1466 mm,4413 mm,1699 mm,Sedan,4.0,14.84,7,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,105PS@5250rpm,153Nm@3750-3800rpm,Digital,Analog,Analog,Yes,5.0,Leather,2552 mm,185/60R15,Yes,Not on offer,"With Remote, Internal",460.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",1,0
1115,1115,Skoda,Rapid,Onyx Mt Diesel,1158599,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Diesel,1466 mm,4413 mm,1699 mm,Sedan,4.0,21.13,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,110PS@4000rpm,250Nm@1500-2500rpm,Digital,Analog,Analog,Yes,5.0,Leather,2552 mm,185/60R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",460.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",4,0
1116,1116,Skoda,Rapid,Onyx At Diesel,1273599,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Diesel,1466 mm,4413 mm,1699 mm,Sedan,4.0,21.72,5,Ventilated Disc,Drum,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,185/60R15,185/60R15,Electro-Hydraulic,All Windows,110PS@4000rpm,250Nm@1500-2500rpm,Digital,Analog,Analog,Yes,5.0,Leather,2552 mm,185/60R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",460.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,2.0,"Rake, Reach",1,0
1117,1117,Fiat,Abarth Punto,1.4 T-Jet,980970,1368 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1505 mm,3989 mm,1687 mm,Hatchback,5.0,16.3,5,Ventilated Disc,Ventilated Disc,"Independent Wheel, Helical Coil Springs, Double Acting Telescopic Dampers and Stabilizer Bar","Torsion Beam, Helical Coil Springs, Double Acting Telescopic Dampers and Stabilizer Bar",195/55R16,195/55R16,Hydraulic Power,All Windows,145PS@5500rpm,212Nm@2000-4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2510 mm,195/55R16,Yes,CD Player with USB & Aux-in,"With Remote, Internal",,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
1118,1118,Hyundai,Creta,1.4 Crdi E Plus,999990,1396 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Diesel,1630 mm,4270 mm,1780 mm,SUV,5.0,21.38,6,Ventilated Disc,Drum,Mc Pherson Strut with coil spring,Coupled Torsion Beam Axle (CTBA) with coil spring,205/65R16,205/65R16,Electric Power,All Windows,90PS@4000rpm,220Nm@1500-2750rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2590 mm,205/65R16,Yes,CD Player with USB & Aux-in,"Internal, With Remote",475.0,Yes,Digital,Centre,,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
1119,1119,Hyundai,Creta,1.6 Vtvt E Plus,999990,1591 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1630 mm,4270 mm,1780 mm,SUV,5.0,15.29,6,Ventilated Disc,Drum,Mc Pherson Strut with coil spring,Coupled Torsion Beam Axle (CTBA) with coil spring,205/65R16,205/65R16,Electric Power,All Windows,123PS@6400rpm,151Nm@4850rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2590 mm,205/65R16,Yes,CD Player with USB & Aux-in,"Internal, With Remote",475.0,Yes,Digital,Centre,,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
1120,1120,Hyundai,Creta,1.6 Vtvt Sx,1232534,1591 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1630 mm,4270 mm,1780 mm,SUV,5.0,15.29,6,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with coil spring,205/65R16,205/65R16,Electric Power,All Windows,123PS@6400rpm,151Nm@4850rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2590 mm,205/65R16,2,CD/MP3/DVD Player with USB & Aux-in,"Internal, With Remote",475.0,Yes,Digital,Front & Rear,,Front & Rear,Yes,Yes,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
1121,1121,Hyundai,Creta,1.6 Vtvt Sx (O),1394437,1591 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55.0,Petrol,1630 mm,4270 mm,1780 mm,SUV,5.0,15.29,6,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle (CTBA) with coil spring,205/65R16,205/65R16,Electric Power,All Windows,123PS@6400rpm,151Nm@4850rpm,Digital,Analog,Analog,Yes,5.0,Leather,2590 mm,205/65R16,2,CD/MP3/DVD Player with USB & Aux-in,"Internal, With Remote",475.0,Yes,Digital,Front & Rear,,Front & Rear,Yes,Yes,"With Remote, Internal",Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags",Yes,Yes,Yes,6.0,Rake,4,0
